Index,Company,Role,Responsibility,Qualifications
4,Outsource,Data Engineer,"Design and deliver data solutions using an agile, iterative approach based on Scrum.
Collaborate with the Data Engineering Manager on technical architecture and design.
Understand commercial data usage to identify system requirements.
Analyse and estimate IT changes, providing input on technical opportunities, constraints, and trade-offs.
Create documentation and present to both technical and non-technical audiences.
Conduct detailed testing for development activities and demonstrate results according to the delivery methodology and coding standards.
Create and productionize complex data pipelines with quick turnaround and high quality.
Assist the team with Production code deployment and data platform support.","Extensive cloud experience in Azure.
Advanced coding experience in Python and SQL.
Experience in Databricks or equivalent experience in Spark.
In-depth knowledge of Azure services.
Proficient in dimensional modelling (e.g., star and snowflake schema design).
Knowledge of Python packages such as Pandas, Numpy, and Seaborn.
Strong understanding of Big Data, MapReduce, Spark.
Familiarity with reporting tools such as Power BI or Tableau."
20,Tikttok,Data Engineer,"- Build data pipelines to portray business status, based on a deep understanding of our fast changing business and data-driven approach;
- Extract information and signals from a broad range of data and build hierarchies to accomplish analytical and mining goals for “Packaged Business Capability” such as user-growth, gaming and searching;
- Keep improving the integrity of data pipelines to provide a comprehensive data service. 
","- Bachelor's degree in Computer Science, Statistic, Data Science or a related field;
- Skilled in SQL and additional object-oriented programming language (e.g. Scala, Java, or Python);
- Experience in issue tracking and problem solving on data pipelines;
- Fast business understanding and collaborative in teamwork.
Preferred Qualifications
- Industry experience working with user growth.
"
22,Hoyoverse,Data Engineer,"Responsible for the development of the SDK data platform, such as reconciliation platform, revenue platform and risk management etc. ensure the stability of the data pipeline;
Participate in building a unified data warehouse architecture, improve the data pipeline design and development of data warehouses, and provide stable and rich public data capabilities;
Responsible for offline and real-time data development of the SDK business line, and support various internal data requirements of SDK;
Ensure the accuracy of data and improve the development of data quality system.","Bachelor's degree or above in Computer Science or related majors;
Master at least one object-oriented programming language,such as Python/Java/Scala, and deeply understand its ideas;
Good knowledge of data structure and algorithm foundation.
At least 3 years or above experience in big data processing projects;
In-depth knowledge in distributed real-time or batch data processing systems;
Proficient in SQL, have good SQL tuning experience, understand the basic principles and tuning of big data related components such as Hadoop/Hive/Spark/Kafka/Flink/Clickhouse;
Excellent ability to analyze and solve problems, sense of responsibility, strong cross-team communication, coordination and collaboration ability."
8,Agoda,Data Engineer,"Lead the team technically in improving scalability, stability, accuracy, speed and efficiency of our existing Data systems
Build, administer and scale data processing pipelines
Be comfortable navigating the following technology stack: Scala, Spark, java, Golang, Python3, scripting (Bash/Python), Hadoop, SQL, S3 etc
Improve scalability, stability, accuracy, speed and efficiency of our existing data systems
Design, build, test and deploy new libraries, frameworks or full systems for our core systems while keeping to the highest standards of testing and code quality
Work with experienced engineers and product owners to identify and build tools to automate many large-scale data management / analysis tasks","Bachelor’s degree in Computer Science /Information Systems/Engineering/related field
5+ years of experience in software and data engineering
Good experience in Apache Spark
Expert level understanding of JVM and either Java or Scala
Experience debugging and reasoning about production issues is desirable
A good understanding of data architecture principles preferred
Any other experience with Big Data technologies / tools
SQL experience
Analytical problem-solving capabilities & experience
Systems administration skills in Linux"
3,Private,Data Scientist,"To analyze large amounts of data to discover trends and patterns
To build predictive models and machine-learning algorithms
Able to apply expertise in data science, statistical analysis, data mining and the visualization of data to derive insights that value-add to business decision making
Undertake preprocessing of structured and unstructured data
Together work closely with internal stakeholders to architect and design analytics solution to meet business objectives/ requirements ","At least with 5 to 6 years of working experience
With GCP experience or other cloud knowledge/ experience 
Having experience in SQL, processing large data sets 
Good in creating Dashboard by using Tableau & Power BI & experience in Data Visualization
Having experience in  Statistical analysis and computing
Hand on experience or having knowledge in  Machine learning, prediction model, operations research
Experience in Python, C++ or other Computer programming
A person who is Statistical thinking & Technical acumen"
17,Innocellence,Data Scientist,"Collaborate with customers to identify key questions, develop hypotheses, and test those hypotheses with clinical study data.
Develop and implement machine learning algorithms for processing and interpreting sensor data (e.g., accelerometers, heart rate monitors, etc.). Research and develop novel digital measures with clinical significance.
Apply data preprocessing techniques to optimize large sets of sensor data processing and analysis, handling issues like noise, missing data, and time-series synchronization.
Validate and interpret results to ensure accuracy, performance and scalability in real-time processing of sensor streams.
Communicate findings and insights to stakeholders through clear and compelling visualizations, reports, and presentations.
Work closely with cross-functional teams to develop data-driven solutions to address business needs.
Stay up-to-date with the latest advancements in data science and clinical research to continuously improve methodologies and approaches.","Ph.D. in Computer Science, Statistics, Mathematics, or related field.
3+ years of experience in data science, with a focus on sensor data analysis or digital health.
Strong understanding of time-series analysis, signal processing, and feature extraction techniques.
Proficiency in programming languages and libraries (e.g, Python/R, TensorFlow/Pytorch) for data analysis and machine learning.
Hands-on experience with big data platforms and tools (e.g., Hadoop, Spark, cloud environments).
Strong problem-solving and analytical skills.
Excellent communication and collaboration skills with the ability to work effectively in a team environment."
24,OCBC,Data Scientist,"Work with business leaders across OCBC Group to identify opportunities for leveraging big data and Data Science to drive value for our customers and business.
Develop and maintain machine learning/deep learning models to achieve the desire business outcomes – such as State of the Art Reinforcement learning system or RAG.
Develop and maintain models in production. Set up controls and monitoring for the models.
Use MLOps processes and tools to monitor and refine Production model performance and accuracy.","2 years+ of experience manipulating data sets and building statistical models, ideally with a Master’s or PhD in Statistics, Mathematics, Computer Science or other quantitative field.
Strong programming experience, with solid understanding of software engineering design patterns and best practices.
Experience with big data technologies such as Hadoop, Trino, and Spark.
Some experience in the use of CI/CD and DevOps tools such as Jira, Jenkins, GIT/Bitbucket.
You have a passion for AI and ML, and you want to learn more everyday"
23,Ubisoft,Senior Data Scientist,"You will have become familiar with the data sources available in a AAA game development environment.
You will have worked in collaboration with our Data Analysts and production teams to extract data you need.
You will have built a solid relationship with key stakeholders in the game development teams.
You will have worked on at least one project and showcased your capacity to identify and propose solutions to complex needs.
After this period, you will be able to: 

Understand the needs of a game development team, propose and communicate efficiently solutions that use data science tools/pipelines.
Work in collaboration with colleagues in the Data Team to implement and maintain those tools/pipelines for games.
Prioritize work that delivers the most value for players and the company.","Minimum 2 years experience in data science
Proven track record of successful machine learning projects
Up to date knowledge of machine learning algorithms
Strong problem solving skills
Self-motivation, organization skills, team spirit, proactivity
Culturally flexible and enjoy working and communicating with different job families (game designers, data analysts, etc.)
Interest in gaming is desired."
18,Brightoil,Senior Data Scientist,"Design and implement large-scale dataset construction strategies to ensure data quality and diversity, meeting the training needs of various AI models.
Lead the big data and web scraping team, overseeing data collection, cleaning, annotation, and preprocessing workflows.
Utilize deep learning and machine learning techniques to optimize the model training process, including model architecture design, hyperparameter tuning, and performance evaluation.
Collaborate with cross-functional teams, including engineering, product, and business teams, to identify and prioritize dataset and model requirements.
Monitor performance metrics during the model training process to ensure model accuracy and efficiency.
Promote the adoption of the latest data science methods and technologies within the team, ensuring skills remain up-to-date.","Bachelor's degree or higher in Computer Science, Data Science or Information Technology.
A minimum of 2 years of experience in data science, machine learning, or a related domain, with at least 2 years focusing on large-scale model training.
Strong programming skills in Python or R, and familiarity with deep learning frameworks such as TensorFlow and PyTorch.
Proven track record in leading and managing data science projects, with the capability to mentor and guide team members on complex tasks.
In-depth knowledge of dataset construction, including the best practices for data scraping, cleaning, and preprocessing.
Practical project experience in natural language processing (NLP), computer vision (CV), or recommendation systems.
Experience in publishing papers in relevant fields or presenting at reputable conferences, along with expertise in model training within large-scale distributed computing environments."
12,ST Engineer,Data Analyst,"Collaborate with stakeholders to define business and information needs, and deliver data-centric solutions.
Translate business requirements into analytics and reporting specifications.
Optimize and automate data collection processes.
Extract insights from raw data and present findings clearly through reports and visualizations.
Assist with daily operational tasks, including application and server support.
Support the sales and marketing teams in presales activities for potential customers.","Bachelor’s Degree or Diploma in Business Analytics, Computer Science, Data Analytics, Information Technology, or a related discipline.
1-3 years of hands-on experience in data science or data engineering is preferred.
Strong oral and written communication skills.
Proficiency in Python, R, or another programming language.
Experience with various databases (e.g., MSSQL, PostgreSQL, Oracle DB).
Solid understanding of data analytics and processing tools such as Power BI, MicroStrategy, and Robotic Process Automation (RPA) is preferred.
Proven experience in operationalizing end-to-end data analytics solutions.
Familiarity with cloud services, particularly Amazon Web Services (AWS), is a plus."
17,Adecco,Data Analyst,"Generate data-driven hypotheses to solve key Product/Business problems
Use data to identify trends, spot anomalies and deepdive into their root causes
Partner closely with the broader product and engineering team to design and analyze experiments that drive key product decisions, deepdive into existing data to recommend new product ideas to solve for the most impactful customer problems
Provide catered analysis for specific products and operations, define critical business metrics and track them rigorously, and provide regular recommendations to achieve continuous improvements","2+ years of experience working in data-related and/or quantitative fields, including but not limited to Analytics and Applied Data Science
Fluent with SQL, Python, R or other scripting/programming languages to problem-solve.
Experienced with working with very large datasets
Strong data visualization and storytelling skills.
Experience in creating dashboards using PowerBI, Tableau or other visualisation tools
Experience with Geography/Map related products will be a plus"
11,Outsource,Business Data Analyst,"Understand and assist on planning and implementing the migration of reporting/analysis use-cases from “excel plugin” (e.g. essbase) to OLAP datasource like DataKit, Tableau, etc.
Review, optimize and consolidate datasets needed by end-users within DataKit to encourage reusability through standardization and optimized performance.
Collaborate with cross-functional teams to support initiatives.
Identify opportunities and propose ideas to streamline processes.","Bachelor’s Degree with at least of 7 years of solid experience in Business/Data Analysis.
Extensive experience in Business/Finance Analysis and Business Intelligence concepts.
Hands-on experience in SQL and SQL/resource optimization.
Hands-on experience in Tableau datasource and dashboard development/optimizations.
Knowledge in Snowflake is a plus."
21,Outsource,Data Analyst,"To plan & execute the implementation of the agreed initiatives for MIS Section.
Fully understand the business requirements and translate these to effective and meaningful information.
Build and modify operational database structures as identified based on business requirements
Manage and maintain the Change Request for MIS
Assist in data mining, data cleansing and data extraction
Ensure data integrity
Manage companywide management reporting requirement and deliver reports timely to the management team and business units
Documentation of Request for reports, SOP and business requirements.
Responsible for CRM related activities and Analysis
Produce reports using the BI tools
Support general day to day MIS activities","You will need to have minimum of 1-2 years of relevant experience
Knowledge of SQL & Tableau Is a MUST requirement
Knowledge in Crystal reports/Qlik View/Excel VBA/ Python is a big advantage.
Experience with SAP is advantage.
Skills in Microsoft office like Word, PowerPoint and Excel is essential.
"
22,Aon Lift,Data Analyst,"Communicate with the business as well as technical stakeholders to make sense of the data and to provide own perspective to assist the business.
Understand the data mapping and transformations that would be involved for end-to-end data flows from raw data to final consumable layer in the database.
Data modelling and data wrangling - to be able to organize data at both macro and micro level and provide logical data models for the consuming visualizations.
Data visualization – Responsible for designing and delivering visualizations that present key insights derived from the data analysis
Understand importance of speed performance of visualizations and how data modelling and visualization design impact it.
Have an eye for aesthetics and good user experience design
In addition to delivery of new projects, assist in support and enhancements of existing data projects and visualizations","Fluent in SQL and have in-depth hands-on knowledge with SQL with a relational database system or data warehouse
Deep working experience in handling and wrangling of data using analytical tools (eg. Excel)
Data modelling experience for analytical/reporting systems
Able to conceptualize the processes and steps of what is required from the business all the way to implementing the data mapping/transformation processes from source to a target data model
Good experience with visualization tools such as PowerBI or Tableau
Understand the importance of performance and able to implement best practices in ensuring performance and maintainability for data and visualization projects
This person is required to be dynamic and be a quick eager learner as knowledge about new technologies will need to be acquired on the spot
Have a strong interest in data visualization and the art of delivery of insights to the end user"
18,FPT Asia,Data Analyst,"Proactively work with business (research analysts, quantitative strategist, end-users, etc.), understand business requirements to enhance our investment and research data solutions and strategies.
Contribute, influence, and review the design of data solutions to ensure they meet both business and operational needs.
Conduct requirement workshop with business and/ or users and analyze requirements holistically to enhance our investment and research data solutions and strategies.
Plan, develop testing strategies and execute end-to-end user acceptance testing of system and data changes in data solutions.
Set up, improve and streamline new or existing data operations process through analyzing systems operations data (SLAs, customer satisfaction, delivery quality, team efficiency etc.) for continuous improvements.
Monitor, analyze, investigate, and resolve day-to-day operational incidents and provide advisory to users.
Design quality metrics and monitor quality of enterprise datasets.
Manage and maintain strong data provider relationship to ensure continuous support and knowledge for existing and future data needs.","Possess a degree in Computer Science/Information Technology or related fields.
Experience in data analysis.
Experience in managing data reconciliation/quality checks (implementation, monitoring and troubleshooting).
Able to handle data issue management.
Proficient in Oracle PL/SQL.
Experience in performing UAT.
Able to manage SLA and queries from end users.
Provide documentation support in technical/functional specifications.
Possess investment data domain knowledge.
Good problem solving and logical thinking.
Skill good to have
Tableau
Snowflake
Denodo"
12,Yonyou,Data Analyst,"Receive training about BI (Business Intelligent) products, data analysis and project management;
Execution of data validation, data mining and data analysis activities;
Assist Lead Data Analyst(LDA) with BI project implementation leveraging Yonyou BI product (integrated with Yonyou EPR system and Cloud Platforms) ;
Assist LDA in drafting the scope of BI project, and confirming the project timeline.
Prepare technical documentation and other deliverables to meet the project requirements, and Summarize the best practice of software solution implementation project implementation.","Good knowledge of information technology, especially in the areas of ERP and IT-related industries.
Possess a strong interest in investigating and identifying causes of issues, and able to propose solutions to rectify the issue.
Strong writing, verbal communication, and presentation skills.
Good planning and coordination skills. Good team player, responsible and conscientious.
Resourceful, independent, responsive and proactive.
Possess a strong interest in investigating and identifying causes of issues, and able to propose solutions to rectify the issue.
Experience in providing training to the core team and end-users.
Familiar with SQL query e.g. SQL Server, Oracle will have a great advantage.
Based in Singapore, travel oversea upon project requirements.
Must be able to speak mandarin to liaise with our China counterparts"
9,Go Net Zero,Data Engineer,"Design, develop, and maintain scalable data ingestion pipelines for IoT devices, ensuring efficient and reliable data collection.
Configure and optimize internal data processing jobs using Python or other relevant languages to handle large-scale IoT data, ensuring timely ingestion, processing, and storage.
Monitor and troubleshoot data pipelines to ensure smooth and continuous data flow from IoT devices to back-end databases and storage systems.
Implement data validation and cleansing processes to ensure data integrity and quality across the pipeline.
Collaborate with development teams to ensure processed data is passed correctly to web frontend systems for visualization and reporting.
Manage the integration of various data sources (e.g., sensor data, external APIs) into the data pipeline using cloud services, ensuring alignment with system architecture.
Implement monitoring tools and alerts to track the health and performance of the data pipeline.
Support data modeling and database optimization efforts to improve query performance and scalability.
Develop and maintain documentation for all data pipeline components, processes, and configurations.
Collaborate with cross-functional teams including data scientists, backend developers, and product managers to address evolving data processing needs.","3+ years of experience as a Data Engineer, Data Pipeline Engineer, or in a similar role, with a focus on IoT systems and data.
Proven experience in designing, implementing, and managing ETL (Extract, Transform, Load) pipelines for large-scale data ingestion.
Hands-on experience with database management systems such as SQL, PostgreSQL
Experience with cloud services such as Azure (e.g., Azure Data Factory, Azure IoT Hub, Azure Stream Analytics) is a plus.
Experience with monitoring, logging, and debugging tools to ensure pipeline reliability.
Strong problem-solving skills and ability to troubleshoot issues in data ingestion and processing.
Excellent communication skills and the ability to work with cross-functional teams."
5,Outsource,Data Engineer,"Learn and Build: Gain hands-on experience with data pipelines and learn how to apply them effectively in real-world scenarios.
Support Operations: Assist with planning logistics and coordinating events and workshops that help build our data-driven culture.
Data Quality Assurance: Play a key role in evaluating and improving data quality, ensuring it meets the standards needed for impactful decision-making.
Collaborate and Contribute: Work in a team environment where your problem-solving skills, attention to detail, and collaborative mindset will be highly valued.","Education: A diploma or bachelor’s degree in computer science, Software Engineering, Information Technology, or a related field.
Technical Writing: Ability to create clear and concise technical documents is highly desirable.
Tech stack: AWS, Python and SQL "
11,Outsource,Data Engineer,"Design, build, and maintain scalable data pipelines and architectures.
Handle both structured and unstructured data sources.
Work extensively with relational databases (SQL) and NoSQL databases.
Deploy applications to cloud platforms such as AWS and Azure.
Collaborate with teams to build efficient batch and streaming data engineering pipelines.
Leverage distributed data processing platforms like Apache Spark to handle large datasets.
Continuously monitor and optimize data pipelines for performance and scalability.
Ensure data quality, security, and availability across systems.","Degree in Computer Science or other relevant disciplines
Strong proficiency in SQL and experience with relational and NoSQL databases.
Experience deploying data applications with cloud platforms (AWS, Azure).
Proficiency in handling structured and unstructured data from multiple sources.
Demonstrated expertise in building data pipelines and data architecture.
Hands-on experience with distributed data processing platforms like Apache Spark.
Familiarity with batch and streaming data pipeline frameworks.
Excellent problem-solving skills and attention to detail.
Experience with data pipeline orchestration tools (e.g., Apache Airflow, Prefect).
Familiarity with containerization (Docker, Kubernetes).
Knowledge of ETL frameworks and processes.
Exposure to machine learning workflows and model deployment is a plus."
2,National Healthcare Group,Data Engineer,"Data Sourcing and Collection:
•    Identifying and understanding source systems.
•    Gathering requirements on frequency, volume, and types of data.
•    Ensuring data privacy and compliance measures are in place.

Data Ingestion using Informatica IDMC and/or Spark using Python:
•    Designing, implementing, and optimizing data ingestion pipelines.
•    Ensuring reliability and fault tolerance of ingestion pipelines.
•    Handling data transformations, if necessary, during ingestion.
•    Collaborate and manage vendors if required to for the data ingestion

Data Lake Management:
•    Proper structuring of the data in the DataBricks Lakehouse to ensure it is usable and performant.
•    Setting up data partitioning, indexing, and archival strategies.
•    Monitoring data growth and storage consumption.

Data Quality and Validation:
•    Implementing data quality checks and validation rules during ingestion.
•    Ensuring data consistency, accuracy, and integrity.
•    Setting up alerts for any data anomalies or issues.

Integration with DataBricks Lakehouse:
•    Making sure the ingested data is accessible, query-able, and optimized for performance in DataBricks.
•    Collaborating with data scientists and analysts to ensure the data meets their requirements.

Performance Tuning and Optimization:

•    Monitoring ingestion pipeline performance and making and coordinate necessary adjustments.
•    Ensuring data loads meet SLAs and optimizing as needed

Security and Compliance:
•    Setting up appropriate access controls and permissions.
•    Ensuring data encryption at rest and in transit.
•    Regularly auditing and reviewing data access patterns.

Data Extraction Requests:
-    Assist with data extraction requests

Documentation and Knowledge Transfer:
•    Creating thorough documentation on data ingestion pipelines, schedules, transformations, etc.
•    Conducting regular knowledge sharing sessions with other team members.
Collaboration:
•    Working closely with other data engineers, data scientists, business analysts, and stakeholders.
•    Communicating any changes, downtimes, or issues proactively.",no
27,Outsource,Data Engineer,"Design, implement, and maintain ETL processes to extract data from multiple sources, transform it based on business rules, and load it into target systems.
Develop and manage data mapping documentation, including source-to-target mappings and transformation logic.
Collaborate with data analysts, data scientists, and business stakeholders to understand data requirements and optimize data flows.
Conduct data quality checks and validation to ensure the accuracy and integrity of data.
Optimize ETL workflows for performance, scalability, and reliability.
Monitor and troubleshoot ETL processes, resolving issues promptly to minimize downtime.
Stay up-to-date with industry best practices and emerging technologies in data engineering and ETL.","Proven experience as a Data Engineer, with a strong focus on data mapping and ETL processes.
Strong SQL skills and experience with relational databases (e.g., MySQL, PostgreSQL, Oracle).
Familiarity with data warehousing concepts and architecture."
7,Outsource,Data Engineer,"Design, develop, and implement Spark Scala applications and data processing pipelines to process large volumes of structured and unstructured data
Integrate Elasticsearch with Spark to enable efficient indexing, querying, and retrieval of data
Optimize and tune Spark jobs for performance and scalability, ensuring efficient data processing and indexing in Elasticsearch
Collaborate with data engineers, data scientists, and other stakeholders to understand requirements and translate them into technical specifications and solutions
Implement data transformations, aggregations, and computations using Spark RDDs, DataFrames, and Datasets, and integrate them with Elasticsearch
Develop and maintain scalable and fault-tolerant Spark applications, adhering to industry best practices and coding standards
Troubleshoot and resolve issues related to data processing, performance, and data quality in the Spark-Elasticsearch integration","5+ Years as Data Engineer
5 Years experience in Spark, Scala, Elastic Search
Develop and maintain scalable and fault-tolerant Spark applications, adhering to industry best practices and coding standards
Monitor and analyze job performance metrics, identify bottlenecks, and propose optimizations in both Spark and Elasticsearch components
Stay updated with emerging trends and advancements in the big data technologies space to ensure continuous improvement and innovation
Mandatory Skills : Spark, Scala & Elastic Search"
21,Coca Cola,Data Engineer,"Leading the design and engineering of features and solutions related to data exploration, data transformation, data modeling, and data visualization.

Developing well-designed, testable, efficient solutions using best software development practices.

Designing, developing, testing, documenting, deploying, monitoring, and supporting code.

Participating in a scrum team continuously delivering incremental high-quality code & reports to production.

Interfacing with other technology teams to extract, transform, and load data from a wide variety of data sources.

Providing visibility over plans and status to multiple stakeholders (IT).

Working side by side with Architects, Product Managers & Product Owners defining and supporting platforms and applications.

Supporting, mentoring, and coaching junior engineers.","Bachelor’s or Master degree in computer science, software engineering, information systems, business analytics or related field.

3+ years’ experience of data platform development and operations.

Hands on development for the ETL pipelines using Azure stack, including ADLS, Azure Data Factory, Azure Databricks, Logic Apps and etc. or any other cloud platform.

Proficiency in relational SQL databases and non-relational databases.

Experience with at least one of these programming languages: Python, Scala, R, Pyspark.

Experience on data modeling framework include data schemas and views, build and maintain data warehouses/data lakes

Proficiency in semantic model development thru any platform like Visual Studio, Dax Studio, Tabular Editor and etc.

Understanding of data governance practices and standards

Experience on CI/CD pipeline for deployment across various environments

Preferred FMCG domain knowledge and retail measurement services tool

Knowledge with predictive model to recommend actions and strategies, experienced in various machine learning mechanism like regression, clustering, classification etc.

Knowledge on AI and relevant solutions to address technical difficulties and business needs

Experience using CI/CD tools – GitHub, GoCD, Terraform and/or Azure DevOps.

Knowledge with developing applications using public cloud, preferably Azure, specially focused in Data Services.

Understanding of Agile Scrum, CI/CD, DevOps best practices.

Solid understanding of Git-based version control.

Experience working in a multinational, distributed team, with in-house and external delivery resources.

Working on one Agile life cycle management tool such as Jira or Azure DevOps.

"
19,Rakuten,Data Engineer,"Explore and implement the most recent technologies and approaches for AI native user experience and build innovative products on top of LLM platform.
Work closely with cross-functional teams to implement projects harnessing LLMs for diverse purposes and vertical domains.
Design and develop a high-performance platform capable of handling and processing large volumes of requests efficiently.","BS degree in Computer Science, Computer Engineering, or other relevant majors with minimum 3-5 years of experience
Extensive experience in programming, included but not limited to, the following programming languages: Java, Golang and C++
Excellent problem-analysis and -solving skills, have industry experience in building backend services for large-scale distributed system
Good team communication and collaboration skills.
Strong execution skills and have a problem-solving mindset.

Maintain a deep passion for contributing to the success of LLM is essential in this innovative and fast-paced team environment.
Experience in serving Deep Learning models on framework TensorFlow, PyTorch, XGBoost etc.
Familiar with LLM’s and supporting tools such as LangChain (Optional)"